date,open,high,low,close,adjc,volume
2000-01-04,6000,6110,5660,6110,4696,74195000
2000-01-05,5800,6060,5520,5580,4289,74680000
2000-01-06,5750,5780,5580,5620,4320,54390000
2000-01-07,5560,5670,5360,5540,4258,40305000
2000-01-10,5600,5770,5580,5770,4435,46880000
2000-01-11,5820,6100,5770,5770,4435,59745000
2000-01-12,5610,5740,5600,5720,4397,29220000
2000-01-13,5600,5740,5560,5710,4389,41190000
2000-01-14,5720,5880,5680,5830,4481,49375000
2000-01-17,6000,6180,5920,6100,4689,63505000
2000-01-18,6160,6160,5980,6100,4689,45260000
2000-01-19,6000,6040,5960,5960,4581,40205000
2000-01-20,5860,6040,5820,6040,4643,37315000
2000-01-21,5950,5980,5880,5880,4520,32535000
2000-01-24,5800,5900,5700,5700,4381,34355000
2000-01-25,5520,5640,5440,5440,4181,44250000
2000-01-26,5500,5520,5410,5480,4212,29285000
2000-01-27,5480,5620,5430,5520,4243,27900000
2000-01-28,5640,5880,5540,5820,4473,38315000
2000-01-31,5640,5730,5560,5580,4289,39630000
2000-02-01,5600,5680,5260,5320,4089,71470000
2000-02-02,5220,5370,5110,5250,4035,64105000
2000-02-03,5250,5460,4970,5130,3943,142765000
2000-02-04,5130,5130,5130,5130,3943,0
2000-02-07,5140,5330,5040,5240,4028,64140000
2000-02-08,5340,5480,5310,5430,4174,58460000
2000-02-09,5560,5720,5480,5720,4397,51050000
2000-02-10,5660,5880,5600,5760,4427,61845000
2000-02-11,5960,5960,5680,5700,4381,34660000
2000-02-14,5600,5660,5340,5380,4135,44140000
2000-02-15,5380,5420,5140,5200,3997,38315000
2000-02-16,5180,5200,4780,5000,3843,73115000
2000-02-17,4940,5100,4910,5080,3905,65185000
2000-02-18,5370,5630,5160,5300,4074,108750000
2000-02-21,5200,5260,5030,5070,3897,26485000
2000-02-22,5000,5240,5000,5120,3935,24180000
2000-02-23,5220,5260,5100,5140,3951,27720000
2000-02-24,5120,5240,5060,5070,3897,26075000
2000-02-25,5080,5150,4980,5120,3935,27875000
2000-02-28,5000,5050,4800,4800,3689,30140000
2000-02-29,4900,5140,4840,5120,3935,51820000
2000-03-01,5120,5120,5120,5120,3935,0
2000-03-02,5880,5880,5520,5880,4520,117750000
2000-03-03,6200,6250,5880,6000,4612,140990000
2000-03-06,6000,6050,5600,5640,4335,39150000
2000-03-07,5600,5640,5480,5620,4320,30070000
2000-03-08,5520,6000,5500,5920,4550,32460000
2000-03-09,5970,5980,5620,5620,4320,55890000
2000-03-10,5790,5800,5520,5540,4258,28605000
2000-03-13,5480,5490,5160,5180,3981,32215000
2000-03-14,5170,5380,5160,5210,4005,30060000
2000-03-15,5200,5400,5120,5400,4151,46105000
2000-03-16,5480,5520,5360,5400,4151,28795000
2000-03-17,5540,5560,5400,5480,4212,24080000
2000-03-20,5600,5710,5530,5660,4350,26365000
2000-03-21,5700,5940,5610,5880,4520,44925000
2000-03-22,5960,6300,5880,6200,4766,86975000
2000-03-23,6480,6580,6200,6200,4766,64950000
2000-03-24,6320,7120,6180,6800,5227,90260000
2000-03-27,6960,7040,6700,6800,5227,67730000
2000-03-28,6900,7260,6820,7030,5404,74425000
2000-03-29,7030,7680,6980,7660,5888,78090000
2000-03-30,7520,7560,7050,7050,5419,74645000
2000-03-31,6800,7070,6650,6700,5150,63855000
2000-04-03,6920,7320,6860,7100,5457,56805000
2000-04-04,7000,7290,6660,6800,5227,58340000
2000-04-05,6800,6800,6800,6800,5227,0
2000-04-06,6860,6960,6680,6680,5135,47235000
2000-04-07,6860,7260,6780,7200,5534,42355000
2000-04-10,7500,7500,7200,7300,5611,35885000
2000-04-11,7200,7200,6950,7100,5457,29075000
2000-04-12,6960,7030,6860,6910,5311,35250000
2000-04-13,6910,6910,6910,6910,5311,0
2000-04-14,6600,6680,6260,6260,4812,62365000
2000-04-17,5420,5750,5340,5520,4243,78050000
2000-04-18,6200,6240,5860,6040,4643,73730000
2000-04-19,6300,6460,5860,6000,4612,60615000
2000-04-20,5960,6160,5920,6020,4627,37335000
2000-04-21,6060,6180,5970,6050,4650,26425000
2000-04-24,5970,6030,5760,5800,4458,27830000
2000-04-25,5620,5760,5520,5640,4335,34900000
2000-04-26,5820,5860,5600,5600,4304,39290000
2000-04-27,5520,5700,5400,5400,4151,54110000
2000-04-28,5500,6100,5460,6000,4612,75530000
2000-05-01,6000,6000,6000,6000,4612,0
2000-05-02,6200,6530,6120,6280,4827,72335000
2000-05-03,6240,6260,6090,6180,4750,26585000
2000-05-04,6220,6360,6140,6180,4750,26100000
2000-05-05,6180,6180,6180,6180,4750,0
2000-05-08,6400,6700,6300,6560,5042,52695000
2000-05-09,6560,6560,6560,6560,5042,0
2000-05-10,6320,6390,6270,6350,4881,27620000
2000-05-11,6350,6350,6350,6350,4881,0
2000-05-12,6420,6440,6160,6160,4735,47170000
2000-05-15,6290,6530,6220,6440,4950,47120000
2000-05-16,6510,6800,6510,6800,5227,39620000
2000-05-17,7000,7340,6920,6920,5319,76235000
2000-05-18,6740,7000,6680,6800,5227,36580000
2000-05-19,6740,6900,6600,6900,5304,41450000
2000-05-22,6720,6830,6620,6670,5127,36385000
2000-05-23,6500,6700,6350,6380,4904,41290000
2000-05-24,6160,6370,5920,6200,4766,72150000
2000-05-25,6330,6380,5930,6000,4612,85965000
2000-05-26,5900,5990,5600,5600,4304,67100000
2000-05-29,5260,5680,5240,5460,4197,67130000
2000-05-30,5460,5460,5460,5460,4197,0
2000-05-31,6000,6290,5960,6160,4735,83935000
2000-06-01,6200,6410,6120,6300,4842,50230000
2000-06-02,6690,6900,6510,6620,5088,84385000
2000-06-05,6920,6980,6680,6740,5181,48010000
2000-06-06,6740,6740,6740,6740,5181,0
2000-06-07,6600,6980,6510,6800,5227,53365000
2000-06-08,6660,6960,6530,6530,5019,58550000
2000-06-09,6600,7040,6530,7020,5396,63860000
2000-06-12,7200,7280,7030,7190,5527,49515000
2000-06-13,7060,7100,6870,7060,5427,42495000
2000-06-14,7230,7640,7090,7640,5873,63020000
2000-06-15,7560,7560,7000,7000,5381,61225000
2000-06-16,6900,6960,6710,6740,5181,66455000
2000-06-19,6600,6950,6550,6700,5150,53560000
2000-06-20,6940,7180,6830,7140,5488,59790000
2000-06-21,7300,7380,7070,7080,5442,37585000
2000-06-22,7240,7270,6960,7040,5411,33635000
2000-06-23,6980,7010,6860,7000,5381,29215000
2000-06-26,7100,7360,6990,7210,5542,39980000
2000-06-27,7320,7440,7190,7310,5619,45535000
2000-06-28,7220,7540,7220,7520,5780,47295000
2000-06-29,7600,7740,7380,7490,5757,61120000
2000-06-30,7440,7540,7290,7380,5673,35250000
2000-07-03,7440,7550,7420,7500,5765,25975000
2000-07-04,7600,7620,7350,7350,5650,32810000
2000-07-05,7390,7520,7350,7430,5711,24895000
2000-07-06,7240,7350,7180,7300,5611,60340000
2000-07-07,7340,7460,7230,7360,5657,40580000
2000-07-10,7440,7630,7410,7600,5842,42505000
2000-07-11,7580,7740,7450,7450,5726,34945000
2000-07-12,7520,7660,7460,7640,5873,40140000
2000-07-13,7700,7880,7570,7760,5965,48805000
2000-07-14,7780,7840,7540,7550,5803,30425000
2000-07-17,7550,7550,7550,7550,5803,0
2000-07-18,7550,7620,7440,7460,5734,19605000
2000-07-19,7550,7620,7440,7460,5734,19605000
2000-07-20,7060,7110,6840,6900,5304,40315000
2000-07-21,6960,7050,6760,6920,5319,48395000
2000-07-24,6640,6740,6360,6380,4904,49015000
2000-07-25,6310,6400,6120,6280,4827,56735000
2000-07-26,6400,6580,6360,6550,5035,54745000
2000-07-27,6220,6360,6100,6230,4789,43540000
2000-07-28,5800,5910,5710,5730,4404,83035000
2000-07-31,5730,5910,5550,5900,4535,46615000
2000-08-01,5960,6270,5870,6220,4781,53120000
2000-08-02,6100,6170,5930,6070,4666,37190000
2000-08-03,6180,6180,5970,6030,4635,27815000
2000-08-04,5930,6010,5850,5920,4550,23605000
2000-08-07,5740,5770,5580,5580,4289,28765000
2000-08-08,5660,5750,5570,5580,4289,33475000
2000-08-09,5680,6040,5680,6000,4612,39570000
2000-08-10,6000,6160,5860,6160,4735,40830000
2000-08-11,6000,6070,5880,5960,4581,33840000
2000-08-14,6060,6160,6000,6020,4627,23730000
2000-08-15,6020,6020,6020,6020,4627,0
2000-08-16,6500,6530,6330,6420,4935,51915000
2000-08-17,6480,6560,6340,6440,4950,36345000
2000-08-18,6500,6520,6200,6200,4766,21370000
2000-08-21,6200,6340,6190,6270,4819,20950000
2000-08-22,6260,6470,6240,6460,4965,27710000
2000-08-23,6450,6450,6160,6190,4758,27905000
2000-08-24,6260,6300,6100,6220,4781,31700000
2000-08-25,6180,6400,6110,6400,4919,21960000
2000-08-28,6340,6380,6260,6330,4866,17630000
2000-08-29,6320,6380,6160,6220,4781,16765000
2000-08-30,6140,6190,6020,6030,4635,23735000
2000-08-31,5900,5900,5380,5470,4204,114120000
2000-09-01,5540,5600,5420,5540,4258,49955000
2000-09-04,5440,5550,5310,5340,4104,28625000
2000-09-05,5260,5340,5030,5150,3958,79765000
2000-09-06,5200,5280,5090,5150,3958,53120000
2000-09-07,4940,4980,4760,4790,3682,83905000
2000-09-08,4900,4930,4790,4880,3751,57170000
2000-09-11,4880,4880,4880,4880,3751,0
2000-09-12,4880,4880,4880,4880,3751,0
2000-09-13,4880,4880,4880,4880,3751,0
2000-09-14,4600,4710,4440,4710,3620,106130000
2000-09-15,4500,4620,4300,4350,3343,82695000
2000-09-18,4010,4120,3700,3970,3051,146305000
2000-09-19,3990,4370,3900,4160,3197,100525000
2000-09-20,4600,4660,4460,4600,3536,103410000
2000-09-21,4590,4660,4320,4400,3382,65445000
2000-09-22,3840,4050,3780,3800,2921,103265000
2000-09-25,3880,4110,3840,4090,3144,65985000
2000-09-26,3900,4040,3900,4000,3074,58430000
